PWS ID,PWS Name,County,Population Served,Fluoridated,Fluoride Conc.
CO-0246201,DALLAS MEADOWS COMMUNITY ASSOC,Ouray,97,No,0.35
CO-0247010,MOORE DALE RANCH RESORT AND HOA,Park,67,No,0.39
CO-0247017,Eleven Mile Ranch Association,Park,70,No,0.43
CO-0251743,SIGNAL MOUNTAIN RANCH,Pueblo,53,No,0.53
CO-0252160,Buckskin Valley Subdivision,Rio Blanco,23,No,0.35
CO-0253718,South Fork West Municipal Town of,Rio Grande,458,No,0.03
CO-0253860,SOUTH FORK WATER COMPANY,Rio Grande,215,No,0
CO-0254676,Riverbend Cabins,Routt,45,No,0.18
CO-0254724,STEAMBOAT LAKE WD,Routt,333,Yes,0.76
CO-0259003,Timber Creek WD,Summit,253,No,0.2
CO-0259019,Wayside,Summit,32,No,0
CO-0260975,Wishing Well Motel,Teller,28,Yes,1.18
